kind,size,size_kb,path
cache-like,144.7 MiB,148172,/Users/yaniv/Library/Caches/company.thebrowser.dia/ModelFileCache
support/container,138.8 MiB,142080,/Users/yaniv/Library/Application Support/Code - Insiders/blob_storage
support/container,134.5 MiB,137744,/Users/yaniv/Library/Application Support/com.openai.atlas
support/container,132.0 MiB,135148,/Users/yaniv/Library/Application Support/com.openai.atlas/browser-data
support/container,127.0 MiB,130004,/Users/yaniv/Library/Application Support/Dia
support/container,119.6 MiB,122448,/Users/yaniv/Library/Application Support/Dia/User Data
support/container,112.8 MiB,115488,/Users/yaniv/Library/Containers/ru.keepcoder.Telegram
support/container,105.5 MiB,108080,/Users/yaniv/Library/Containers/com.microsoft.Word
support/container,104.3 MiB,106852,/Users/yaniv/Library/Containers/com.microsoft.Outlook
support/container,91.4 MiB,93580,/Users/yaniv/Library/Containers/com.apple.photoanalysisd
support/container,91.0 MiB,93200,/Users/yaniv/Library/Application Support/Code/CachedData
support/container,84.9 MiB,86948,/Users/yaniv/Library/Containers/com.apple.wallpaper.agent
support/container,83.1 MiB,85056,/Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache
support/container,82.8 MiB,84820,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default
support/container,79.2 MiB,81096,/Users/yaniv/Library/Containers/com.apple.iBooksX
support/container,76.1 MiB,77936,/Users/yaniv/Library/Application Support/Firefox
support/container,75.3 MiB,77076,/Users/yaniv/Library/Application Support/Firefox/Profiles
support/container,75.1 MiB,76908,/Users/yaniv/Library/Application Support/Comet/extensions_crx_cache
cache-like,59.2 MiB,60584,/Users/yaniv/Library/Caches/.omb
cache-like,59.1 MiB,60476,/Users/yaniv/Library/Caches/.omb/logs
cache-like,55.0 MiB,56356,/Users/yaniv/Library/Caches/GeoServices
cache-like,53.9 MiB,55204,/Users/yaniv/Library/Caches/GeoServices/Resources
support/container,53.4 MiB,54712,/Users/yaniv/Library/Application Support/Code/WebStorage
cache-like,52.4 MiB,53684,/Users/yaniv/Library/Caches/com.apple.helpd
support/container,51.8 MiB,53076,/Users/yaniv/Library/Application Support/Cursor
cache-like,48.2 MiB,49388,/Users/yaniv/Library/Caches/com.apple.tipsd
support/container,47.1 MiB,48272,/Users/yaniv/Library/Application Support/Comet/component_crx_cache
cache-like,46.4 MiB,47528,/Users/yaniv/Library/Caches/Homebrew/api
cache-like,42.1 MiB,43144,/Users/yaniv/Library/Caches/com.apple.tipsd/fsCachedData
support/container,38.9 MiB,39792,/Users/yaniv/Library/Application Support/Cursor/CachedData
support/container,38.5 MiB,39444,/Users/yaniv/Library/Containers/com.apple.AvatarUI.AvatarPickerMemojiPicker
support/container,35.6 MiB,36416,/Users/yaniv/Library/Containers/com.apple.AppStore
support/container,29.5 MiB,30164,/Users/yaniv/Library/Application Support/OneDrive
