kind,size,size_kb,path
support/container,992.0 KiB,992,/Users/yaniv/Library/Application Support/com.apple.ap.promotedcontentd/APDB
support/container,960.0 KiB,960,/Users/yaniv/Library/Application Support/Comet/AutofillStates
cache-like,948.0 KiB,948,/Users/yaniv/Library/Logs/OneDrive/Updater
cache-like,900.0 KiB,900,/Users/yaniv/Library/Caches/com.apple.AppleMediaServices/Engagement
cache-like,884.0 KiB,884,/Users/yaniv/Library/Caches/com.apple.AppleMediaServices/com.apple.AppleMediaServicesKit
cache-like,872.0 KiB,872,/Users/yaniv/Library/HTTPStorages/com.apple.ciphermld
cache-like,864.0 KiB,864,/Users/yaniv/Library/Caches/com.apple.Family-Settings.extension
support/container,864.0 KiB,864,/Users/yaniv/Library/Application Support/obs-studio
cache-like,856.0 KiB,856,/Users/yaniv/Library/Caches/com.apple.AppleMediaServices/private-identifiers
support/container,832.0 KiB,832,/Users/yaniv/Library/Containers/com.apple.stocks.detailintents
cache-like,816.0 KiB,816,/Users/yaniv/Library/Caches/com.apple.helpd/NSFileProtectionComplete
cache-like,816.0 KiB,816,/Users/yaniv/Library/Caches/com.apple.helpd/NSFileProtectionCompleteUnlessOpen
support/container,800.0 KiB,800,/Users/yaniv/Library/Application Support/Firefox/Profile Groups
support/container,800.0 KiB,800,/Users/yaniv/Library/Containers/com.apple.AppleAccountUI.AAUIFollowUpExtension
support/container,780.0 KiB,780,/Users/yaniv/Library/Application Support/Comet/PKIMetadata
support/container,772.0 KiB,772,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/PKIMetadata
support/container,760.0 KiB,760,/Users/yaniv/Library/Application Support/Slack/Cache
cache-like,756.0 KiB,756,/Users/yaniv/Library/WebKit/com.vmware.hub.mac
cache-like,756.0 KiB,756,/Users/yaniv/Library/WebKit/com.vmware.hub.mac/WebsiteData
cache-like,744.0 KiB,744,/Users/yaniv/Library/HTTPStorages/com.apple.appleaccountd
support/container,728.0 KiB,728,/Users/yaniv/Library/Application Support/Adobe/AcroCef
support/container,724.0 KiB,724,/Users/yaniv/Library/Application Support/networkserviceproxy
cache-like,704.0 KiB,704,/Users/yaniv/Library/Caches/com.apple.bookassetd
support/container,704.0 KiB,704,/Users/yaniv/Library/Application Support/com.openai.atlas/conversations-v3-d16322da-45b7-4b7e-a1d9-318b0a3bff67
cache-like,700.0 KiB,700,/Users/yaniv/Library/Caches/com.apple.donotdisturbd
support/container,700.0 KiB,700,/Users/yaniv/Library/Application Support/Code - Insiders/User
cache-like,696.0 KiB,696,/Users/yaniv/Library/WebKit/com.microsoft.edgemac
cache-like,696.0 KiB,696,/Users/yaniv/Library/WebKit/com.microsoft.edgemac/WebsiteData
cache-like,680.0 KiB,680,/Users/yaniv/Library/HTTPStorages/com.apple.FeatureAccessAgent
cache-like,680.0 KiB,680,/Users/yaniv/Library/HTTPStorages/com.microsoft.OneDriveStandaloneUpdater
cache-like,680.0 KiB,680,/Users/yaniv/Library/HTTPStorages/askpermissiond
support/container,676.0 KiB,676,/Users/yaniv/Library/Group Containers/243LU875E5.groups.com.apple.podcasts
cache-like,656.0 KiB,656,/Users/yaniv/Library/Caches/com.github.macadmins.Nudge
cache-like,652.0 KiB,652,/Users/yaniv/Library/Caches/com.vmware.hub.mac/WebKit
cache-like,628.0 KiB,628,/Users/yaniv/Library/HTTPStorages/com.apple.helpd
cache-like,616.0 KiB,616,/Users/yaniv/Library/HTTPStorages/com.apple.shazamd
support/container,616.0 KiB,616,/Users/yaniv/Library/Application Support/SonosV2
support/container,612.0 KiB,612,/Users/yaniv/Library/Application Support/Microsoft Edge/SmartScreen
support/container,612.0 KiB,612,/Users/yaniv/Library/Application Support/com.apple.RemoteManagementAgent
cache-like,608.0 KiB,608,/Users/yaniv/Library/Caches/com.apple.NewDeviceOutreach
support/container,608.0 KiB,608,/Users/yaniv/Library/Application Support/com.apple.RemoteManagementAgent/Database
cache-like,596.0 KiB,596,/Users/yaniv/Library/Caches/Oracle.MacJREInstaller
cache-like,592.0 KiB,592,/Users/yaniv/Library/Caches/com.apple.appstore
cache-like,592.0 KiB,592,/Users/yaniv/Library/Caches/com.apple.appstore/CommerceRequestCache
cache-like,592.0 KiB,592,/Users/yaniv/Library/Caches/com.apple.passd/fsCachedData
cache-like,588.0 KiB,588,/Users/yaniv/Library/Caches/com.apple.translationd
cache-like,576.0 KiB,576,/Users/yaniv/Library/WebKit/us.zoom.xos
cache-like,576.0 KiB,576,/Users/yaniv/Library/WebKit/us.zoom.xos/WebsiteData
cache-like,552.0 KiB,552,/Users/yaniv/Library/HTTPStorages/company.thebrowser.Browser
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/LM Studio/DawnGraphiteCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/LM Studio/DawnWebGPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Cursor/DawnGraphiteCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Cursor/DawnWebGPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Rancher Desktop/DawnGraphiteCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Rancher Desktop/DawnWebGPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Codex/DawnGraphiteCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Codex/GPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Codex/DawnWebGPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Code/DawnGraphiteCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Code/DawnWebGPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Code/DawnCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Oracle Backup/GPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Oracle Backup/DawnCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Comet/GrShaderCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Comet/ShaderCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/ShaderCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Code - Insiders/DawnGraphiteCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Code - Insiders/DawnWebGPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Microsoft Edge/GrShaderCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Microsoft Edge/ShaderCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Slack/DawnGraphiteCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Slack/DawnWebGPUCache
support/container,548.0 KiB,548,/Users/yaniv/Library/Application Support/Slack/DawnCache
support/container,540.0 KiB,540,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/themes_backup
support/container,532.0 KiB,532,/Users/yaniv/Library/Application Support/Microsoft Edge/Autofill
cache-like,520.0 KiB,520,/Users/yaniv/Library/WebKit/com.mitchellh.ghostty
cache-like,520.0 KiB,520,/Users/yaniv/Library/WebKit/com.mitchellh.ghostty/WebsiteData
cache-like,512.0 KiB,512,/Users/yaniv/Library/Caches/com.apple.Spotlight/fsCachedData
support/container,508.0 KiB,508,/Users/yaniv/Library/Application Support/SonosV2/jffs
support/container,504.0 KiB,504,/Users/yaniv/Library/Containers/com.apple.PeopleViewService.PeopleWidget-macOS
cache-like,500.0 KiB,500,/Users/yaniv/Library/HTTPStorages/com.apple.AddressBookSourceSync
support/container,500.0 KiB,500,/Users/yaniv/Library/Application Support/obs-studio/profiler_data
support/container,500.0 KiB,500,/Users/yaniv/Library/Application Support/F5 EPI
cache-like,496.0 KiB,496,/Users/yaniv/Library/Caches/com.apple.proactive.eventtracker
cache-like,496.0 KiB,496,/Users/yaniv/Library/Caches/com.apple.AMPLibraryAgent/fsCachedData
cache-like,496.0 KiB,496,/Users/yaniv/Library/Caches/com.apple.feedbacklogger
cache-like,488.0 KiB,488,/Users/yaniv/Library/HTTPStorages/familycircled
cache-like,488.0 KiB,488,/Users/yaniv/Library/HTTPStorages/com.apple.Family-Settings.extension
support/container,488.0 KiB,488,/Users/yaniv/Library/Containers/com.apple.AppleMediaServicesUI.ComposeReviewExtension
cache-like,472.0 KiB,472,/Users/yaniv/Library/Logs/OneDrive/SyncReporter
support/container,472.0 KiB,472,/Users/yaniv/Library/Containers/com.apple.Safari.SafariWidgetExtension
cache-like,448.0 KiB,448,/Users/yaniv/Library/Caches/com.sonos.macController2/fsCachedData
cache-like,440.0 KiB,440,/Users/yaniv/Library/Caches/com.apple.proactive.eventtracker/log_stores
support/container,440.0 KiB,440,/Users/yaniv/Library/Application Support/iTerm2
support/container,436.0 KiB,436,/Users/yaniv/Library/Containers/com.apple.tips.Widget
cache-like,424.0 KiB,424,/Users/yaniv/Library/HTTPStorages/com.openai.codex
support/container,420.0 KiB,420,/Users/yaniv/Library/Containers/com.apple.reminders.WidgetExtension
support/container,404.0 KiB,404,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/themes
support/container,396.0 KiB,396,/Users/yaniv/Library/Application Support/Animoji
support/container,396.0 KiB,396,/Users/yaniv/Library/Application Support/Animoji/CoreDataBackend
support/container,392.0 KiB,392,/Users/yaniv/Library/Application Support/Alfred
support/container,380.0 KiB,380,/Users/yaniv/Library/Application Support/Comet/OptimizationHints
cache-like,376.0 KiB,376,/Users/yaniv/Library/Caches/com.apple.sirittsd
cache-like,376.0 KiB,376,/Users/yaniv/Library/Caches/com.apple.sirittsd/SynthesisCache
cache-like,372.0 KiB,372,/Users/yaniv/Library/Caches/com.apple.FileProviderDaemon.AppStoreService
cache-like,372.0 KiB,372,/Users/yaniv/Library/Caches/ChatGPTHelper/fsCachedData
cache-like,368.0 KiB,368,/Users/yaniv/Library/Caches/com.mitchellh.ghostty
cache-like,360.0 KiB,360,/Users/yaniv/Library/HTTPStorages/com.apple.NewDeviceOutreach
cache-like,360.0 KiB,360,/Users/yaniv/Library/HTTPStorages/com.apple.siri.SuggestionsBookkeepingService
cache-like,360.0 KiB,360,/Users/yaniv/Library/HTTPStorages/us.zoom.xos
cache-like,360.0 KiB,360,/Users/yaniv/Library/HTTPStorages/chrome_crashpad_handler
cache-like,360.0 KiB,360,/Users/yaniv/Library/HTTPStorages/com.oracle.java.Java-Updater
cache-like,360.0 KiB,360,/Users/yaniv/Library/HTTPStorages/com.apple.iCloudNotificationAgent
support/container,348.0 KiB,348,/Users/yaniv/Library/Application Support/Microsoft Edge/Edge Notifications
cache-like,344.0 KiB,344,/Users/yaniv/Library/Caches/mbuseragent
support/container,344.0 KiB,344,/Users/yaniv/Library/Containers/com.apple.CloudDocs.iCloudDriveFileProvider
cache-like,340.0 KiB,340,/Users/yaniv/Library/Caches/com.todesktop.230313mzl4w4u92
support/container,336.0 KiB,336,/Users/yaniv/Library/Containers/com.apple.Safari.CacheDeleteExtension
cache-like,320.0 KiB,320,/Users/yaniv/Library/Caches/askpermissiond/fsCachedData
support/container,320.0 KiB,320,/Users/yaniv/Library/Containers/com.apple.Notes.WidgetExtension
support/container,304.0 KiB,304,/Users/yaniv/Library/Application Support/obs-studio/plugin_config
support/container,304.0 KiB,304,/Users/yaniv/Library/Application Support/Codex/Local Storage
support/container,300.0 KiB,300,/Users/yaniv/Library/Application Support/com.apple.control-center.tips
support/container,300.0 KiB,300,/Users/yaniv/Library/Application Support/com.apple.control-center.tips/.tipkit
support/container,300.0 KiB,300,/Users/yaniv/Library/Application Support/LM Studio/Cache
cache-like,296.0 KiB,296,/Users/yaniv/Library/HTTPStorages/com.adobe.ARMDC
cache-like,296.0 KiB,296,/Users/yaniv/Library/HTTPStorages/com.apple.siriknowledged
cache-like,296.0 KiB,296,/Users/yaniv/Library/HTTPStorages/com.adobe.acrobat.AcroPatchInstall
support/container,292.0 KiB,292,/Users/yaniv/Library/Application Support/Rancher Desktop/Cache
support/container,292.0 KiB,292,/Users/yaniv/Library/Application Support/Code/Local Storage
cache-like,288.0 KiB,288,/Users/yaniv/Library/Logs/rancher-desktop
cache-like,284.0 KiB,284,/Users/yaniv/Library/Caches/com.apple.python/Users
support/container,284.0 KiB,284,/Users/yaniv/Library/Application Support/Microsoft Edge/PKIMetadata
support/container,284.0 KiB,284,/Users/yaniv/Library/Application Support/Dia/AgentServer
support/container,284.0 KiB,284,/Users/yaniv/Library/Containers/com.apple.UsageTrackingAgent
cache-like,276.0 KiB,276,/Users/yaniv/Library/Caches/com.google.GoogleUpdater
cache-like,276.0 KiB,276,/Users/yaniv/Library/Caches/com.tinyspeck.slackmacgap
support/container,276.0 KiB,276,/Users/yaniv/Library/Containers/com.apple.SafariPlatformSupport.Helper
support/container,256.0 KiB,256,/Users/yaniv/Library/Application Support/Comet/Subresource Filter
cache-like,252.0 KiB,252,/Users/yaniv/Library/Caches/com.github.macadmins.Nudge/fsCachedData
support/container,252.0 KiB,252,/Users/yaniv/Library/Application Support/com.github.macadmins.Nudge
support/container,252.0 KiB,252,/Users/yaniv/Library/Application Support/Microsoft Edge/Subresource Filter
support/container,252.0 KiB,252,/Users/yaniv/Library/Application Support/HubExtensions
cache-like,248.0 KiB,248,/Users/yaniv/Library/Caches/com.googlecode.iterm2/parsers
cache-like,248.0 KiB,248,/Users/yaniv/Library/Caches/com.oracle.java.Java-Updater
support/container,244.0 KiB,244,/Users/yaniv/Library/Application Support/Alfred/Databases
cache-like,236.0 KiB,236,/Users/yaniv/Library/Caches/com.apple.AppleMediaServices/DynamicUI
cache-like,236.0 KiB,236,/Users/yaniv/Library/Caches/io.sentry
cache-like,232.0 KiB,232,/Users/yaniv/Library/Caches/company.thebrowser.dia/fsCachedData
cache-like,232.0 KiB,232,/Users/yaniv/Library/Caches/io.sentry/e17188c3e6e21ac851cb6a281682b7eaa56e757a
cache-like,232.0 KiB,232,/Users/yaniv/Library/HTTPStorages/com.apple.jetpackassetd
cache-like,232.0 KiB,232,/Users/yaniv/Library/HTTPStorages/com.microsoft.VSCode
cache-like,232.0 KiB,232,/Users/yaniv/Library/HTTPStorages/com.apple.ctcategories.service
cache-like,228.0 KiB,228,/Users/yaniv/Library/WebKit/com.oracle.java.Java-Updater
cache-like,228.0 KiB,228,/Users/yaniv/Library/WebKit/com.oracle.java.Java-Updater/WebsiteData
cache-like,224.0 KiB,224,/Users/yaniv/Library/Caches/com.apple.feedbacklogger/com.apple.assistantd
support/container,220.0 KiB,220,/Users/yaniv/Library/Containers/com.apple.Home.HomeEnergyWidgets
support/container,216.0 KiB,216,/Users/yaniv/Library/Application Support/iTerm2/parsers
support/container,216.0 KiB,216,/Users/yaniv/Library/Application Support/com.apple.controlcenter
support/container,216.0 KiB,216,/Users/yaniv/Library/Application Support/com.apple.controlcenter/.tipkit
cache-like,212.0 KiB,212,/Users/yaniv/Library/Caches/com.apple.SoftwareUpdateNotificationManager
cache-like,212.0 KiB,212,/Users/yaniv/Library/Caches/com.apple.assistant_service
cache-like,212.0 KiB,212,/Users/yaniv/Library/Caches/com.microsoft.autoupdate2
cache-like,212.0 KiB,212,/Users/yaniv/Library/Caches/JetPackCache
cache-like,212.0 KiB,212,/Users/yaniv/Library/Caches/com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
support/container,212.0 KiB,212,/Users/yaniv/Library/Application Support/Comet/Crowd Deny
support/container,212.0 KiB,212,/Users/yaniv/Library/Containers/com.microsoft.errorreporting
support/container,212.0 KiB,212,/Users/yaniv/Library/Containers/com.apple.voicebankingd
support/container,208.0 KiB,208,/Users/yaniv/Library/Application Support/Arc/SidebarItemsFaviconCache
support/container,208.0 KiB,208,/Users/yaniv/Library/Group Containers/group.com.apple.managedappdistributionagent
cache-like,204.0 KiB,204,/Users/yaniv/Library/Caches/GeoServices/RegionalResources
cache-like,200.0 KiB,200,/Users/yaniv/Library/Caches/JetPackCache/assets
cache-like,200.0 KiB,200,/Users/yaniv/Library/Caches/com.apple.feedbacklogger/com.apple.siri.telemetry
support/container,200.0 KiB,200,/Users/yaniv/Library/Application Support/firestore
support/container,200.0 KiB,200,/Users/yaniv/Library/Application Support/firestore/Arc
cache-like,192.0 KiB,192,/Users/yaniv/Library/Caches/com.apple.duetexpertd
cache-like,192.0 KiB,192,/Users/yaniv/Library/Caches/com.apple.duetexpertd/com.apple.e5rt.e5bundlecache
support/container,192.0 KiB,192,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/SafetyTips
support/container,188.0 KiB,188,/Users/yaniv/Library/Application Support/Comet/SafetyTips
support/container,188.0 KiB,188,/Users/yaniv/Library/Containers/com.apple.AddressBook
cache-like,180.0 KiB,180,/Users/yaniv/Library/Caches/com.apple.ap.PromotedContentJetService
support/container,176.0 KiB,176,/Users/yaniv/Library/Application Support/com.openai.atlas/d16322da-45b7-4b7e-a1d9-318b0a3bff67
support/container,176.0 KiB,176,/Users/yaniv/Library/Application Support/Oracle/Java
support/container,176.0 KiB,176,/Users/yaniv/Library/Application Support/Microsoft Edge/SafetyTips
support/container,176.0 KiB,176,/Users/yaniv/Library/Application Support/dev.warp.Warp-Stable
cache-like,172.0 KiB,172,/Users/yaniv/Library/Caches/GameKit
cache-like,172.0 KiB,172,/Users/yaniv/Library/Caches/com.apple.bookassetd/fsCachedData
cache-like,172.0 KiB,172,/Users/yaniv/Library/Caches/com.apple.remindd
support/container,172.0 KiB,172,/Users/yaniv/Library/Group Containers/UBF8T346G9.OneDriveStandaloneSuite
cache-like,168.0 KiB,168,/Users/yaniv/Library/Caches/com.apple.accountsd
cache-like,168.0 KiB,168,/Users/yaniv/Library/Caches/com.apple.dataaccess.dataaccessd
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/com.github.macadmins.Nudge
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/MiniLauncher
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/com.apple.assistant_service
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/com.apple.Spotlight
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/com.apple.accountsd
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/com.microsoft.edgemac
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/com.apple.translationd
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/Oracle.MacJREInstaller
cache-like,168.0 KiB,168,/Users/yaniv/Library/HTTPStorages/com.brave.Browser
cache-like,168.0 KiB,168,/Users/yaniv/Library/Logs/com.openai.codex
cache-like,168.0 KiB,168,/Users/yaniv/Library/Logs/com.openai.codex/2026
support/container,168.0 KiB,168,/Users/yaniv/Library/Application Support/Cursor/Cache
support/container,164.0 KiB,164,/Users/yaniv/Library/Application Support/com.apple.iTunesCloud
support/container,164.0 KiB,164,/Users/yaniv/Library/Application Support/com.apple.iTunesCloud/URLBags
cache-like,160.0 KiB,160,/Users/yaniv/Library/Caches/com.apple.weatherd
cache-like,156.0 KiB,156,/Users/yaniv/Library/Caches/com.apple.managedappdistributionagent/fsCachedData
cache-like,156.0 KiB,156,/Users/yaniv/Library/Caches/com.apple.bookdatastored/fsCachedData
support/container,156.0 KiB,156,/Users/yaniv/Library/Application Support/Cursor/process-monitor
support/container,152.0 KiB,152,/Users/yaniv/Library/Application Support/com.apple.ap.promotedcontentd/shared
support/container,152.0 KiB,152,/Users/yaniv/Library/Application Support/Code/Service Worker
support/container,152.0 KiB,152,/Users/yaniv/Library/Application Support/Microsoft Edge/EADPData Component
support/container,152.0 KiB,152,/Users/yaniv/Library/Application Support/HubExtensions/ForYou-HubX-Plugin
support/container,148.0 KiB,148,/Users/yaniv/Library/Containers/com.apple.journal.widgets
cache-like,144.0 KiB,144,/Users/yaniv/Library/Caches/com.apple.iBooksX
cache-like,144.0 KiB,144,/Users/yaniv/Library/Caches/com.apple.iBooksX/CommerceRequestCache
support/container,144.0 KiB,144,/Users/yaniv/Library/Containers/com.apple.findmy.FindMyWidgetIntentsPeople
cache-like,140.0 KiB,140,/Users/yaniv/Library/Caches/MiniLauncher
cache-like,140.0 KiB,140,/Users/yaniv/Library/Caches/GameKit/StoreBag
cache-like,140.0 KiB,140,/Users/yaniv/Library/Caches/com.apple.bird
support/container,140.0 KiB,140,/Users/yaniv/Library/Group Containers/group.com.apple.tv.sharedcontainer
cache-like,136.0 KiB,136,/Users/yaniv/Library/Caches/com.apple.betaenrollmentd
cache-like,136.0 KiB,136,/Users/yaniv/Library/Caches/Acrobat
cache-like,136.0 KiB,136,/Users/yaniv/Library/Caches/Acrobat/DC
support/container,136.0 KiB,136,/Users/yaniv/Library/Application Support/Microsoft Edge/Domain Actions
support/container,136.0 KiB,136,/Users/yaniv/Library/Application Support/Alfred/Assistant
cache-like,132.0 KiB,132,/Users/yaniv/Library/Caches/mbuseragent/fsCachedData
support/container,132.0 KiB,132,/Users/yaniv/Library/Containers/com.apple.siri.media-indexer
support/container,132.0 KiB,132,/Users/yaniv/Library/Containers/com.apple.shortcuts.ShortcutsWidget
support/container,128.0 KiB,128,/Users/yaniv/Library/Application Support/Code - Insiders/Local Storage
cache-like,120.0 KiB,120,/Users/yaniv/Library/Logs/Adobe/LogTransport
support/container,120.0 KiB,120,/Users/yaniv/Library/Group Containers/group.com.apple.mobiletimerd
cache-like,116.0 KiB,116,/Users/yaniv/Library/HTTPStorages/com.apple.akd
support/container,116.0 KiB,116,/Users/yaniv/Library/Containers/com.apple.ContactsUI.MonogramPosterExtension
support/container,108.0 KiB,108,/Users/yaniv/Library/Application Support/Microsoft Edge/Ad Blocking
cache-like,104.0 KiB,104,/Users/yaniv/Library/Caches/OneDrive
cache-like,104.0 KiB,104,/Users/yaniv/Library/HTTPStorages/company.thebrowser.dia
support/container,104.0 KiB,104,/Users/yaniv/Library/Application Support/SonosV2/cache
support/container,104.0 KiB,104,/Users/yaniv/Library/Containers/com.apple.Home.HomeWidget.Interactive
cache-like,100.0 KiB,100,/Users/yaniv/Library/Caches/.omb/metrics
cache-like,100.0 KiB,100,/Users/yaniv/Library/HTTPStorages/com.apple.SoftwareUpdateNotificationManager
cache-like,100.0 KiB,100,/Users/yaniv/Library/HTTPStorages/com.apple.ap.PromotedContentJetService
support/container,100.0 KiB,100,/Users/yaniv/Library/Application Support/HubExtensions/Self-Support
cache-like,96.0 KiB,96,/Users/yaniv/Library/Caches/com.apple.akd/fsCachedData
support/container,96.0 KiB,96,/Users/yaniv/Library/Application Support/com.apple.akd
support/container,96.0 KiB,96,/Users/yaniv/Library/Application Support/CrashReporter
support/container,96.0 KiB,96,/Users/yaniv/Library/Containers/com.apple.findmy.FindMyWidgetPeople
support/container,96.0 KiB,96,/Users/yaniv/Library/Containers/com.apple.findmy.FindMyWidgetItems
cache-like,92.0 KiB,92,/Users/yaniv/Library/Caches/com.adobe.ARMDCHelper
cache-like,92.0 KiB,92,/Users/yaniv/Library/HTTPStorages/com.apple.newsd
cache-like,92.0 KiB,92,/Users/yaniv/Library/HTTPStorages/com.sonos.macController2
cache-like,88.0 KiB,88,/Users/yaniv/Library/HTTPStorages/com.adobe.Reader
cache-like,88.0 KiB,88,/Users/yaniv/Library/HTTPStorages/com.microsoft.VSCodeInsiders
support/container,88.0 KiB,88,/Users/yaniv/Library/Application Support/F5 EPI/Langs
cache-like,84.0 KiB,84,/Users/yaniv/Library/Caches/kopia
cache-like,84.0 KiB,84,/Users/yaniv/Library/Caches/kopia/1b6833ab61ee3be9
cache-like,84.0 KiB,84,/Users/yaniv/Library/Caches/com.apple.shazamd/fsCachedData
support/container,84.0 KiB,84,/Users/yaniv/Library/Application Support/Comet/segmentation_platform
support/container,84.0 KiB,84,/Users/yaniv/Library/Application Support/Slack/Local Storage
support/container,84.0 KiB,84,/Users/yaniv/Library/Application Support/JREInstaller
support/container,84.0 KiB,84,/Users/yaniv/Library/Containers/com.apple.journal.widgets.secure
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/com.adobe.AdobeCRDaemon
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/GeoServices/SearchAttribution
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/com.adobe.crashreporter
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/com.adobe.Reader
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/company.thebrowser.Browser
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/com.apple.siri.SuggestionsBookkeepingService
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/chrome_crashpad_handler
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/com.apple.parsecd/Cohorts
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/com.adobe.LogTransport.LogTransport
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/io.rancherdesktop.app
cache-like,80.0 KiB,80,/Users/yaniv/Library/Caches/com.brave.Browser
cache-like,80.0 KiB,80,/Users/yaniv/Library/HTTPStorages/com.microsoft.autoupdate2
cache-like,80.0 KiB,80,/Users/yaniv/Library/HTTPStorages/com.mitchellh.ghostty
cache-like,80.0 KiB,80,/Users/yaniv/Library/HTTPStorages/com.apple.TV
support/container,80.0 KiB,80,/Users/yaniv/Library/Application Support/com.apple.spotlight
support/container,80.0 KiB,80,/Users/yaniv/Library/Application Support/Arc/RemoteAssetDirectory
support/container,80.0 KiB,80,/Users/yaniv/Library/Containers/com.apple.FaceTime
support/container,80.0 KiB,80,/Users/yaniv/Library/Containers/com.apple.Batteries.BatteriesAvocadoWidgetExtension
cache-like,76.0 KiB,76,/Users/yaniv/Library/HTTPStorages/icloudmailagent
cache-like,76.0 KiB,76,/Users/yaniv/Library/HTTPStorages/com.apple.weatherd
cache-like,72.0 KiB,72,/Users/yaniv/Library/HTTPStorages/com.apple.FileProviderDaemon.AppStoreService
cache-like,72.0 KiB,72,/Users/yaniv/Library/HTTPStorages/com.vmware.hub.mac
cache-like,72.0 KiB,72,/Users/yaniv/Library/HTTPStorages/com.tinyspeck.slackmacgap
cache-like,72.0 KiB,72,/Users/yaniv/Library/HTTPStorages/com.todesktop.230313mzl4w4u92
cache-like,68.0 KiB,68,/Users/yaniv/Library/Caches/com.openai.atlas/com.onevcat.Kingfisher.ImageCache
cache-like,68.0 KiB,68,/Users/yaniv/Library/Caches/claude-cli-nodejs
cache-like,68.0 KiB,68,/Users/yaniv/Library/HTTPStorages/com.adobe.AdobeCRDaemon
cache-like,68.0 KiB,68,/Users/yaniv/Library/HTTPStorages/com.apple.AOSPushRelay
cache-like,68.0 KiB,68,/Users/yaniv/Library/HTTPStorages/mbuseragent
cache-like,68.0 KiB,68,/Users/yaniv/Library/HTTPStorages/io.rancherdesktop.app
support/container,68.0 KiB,68,/Users/yaniv/Library/Application Support/Intelligent Hub
support/container,68.0 KiB,68,/Users/yaniv/Library/Containers/com.apple.FaceTime.FaceTimeNotificationExtension
support/container,68.0 KiB,68,/Users/yaniv/Library/Containers/com.apple.routined
support/container,68.0 KiB,68,/Users/yaniv/Library/Containers/com.apple.SiriNCService
cache-like,64.0 KiB,64,/Users/yaniv/Library/HTTPStorages/com.apple.betaenrollmentd
support/container,60.0 KiB,60,/Users/yaniv/Library/Application Support/com.apple.callintelligenced
cache-like,56.0 KiB,56,/Users/yaniv/Library/Caches/com.apple.feedbacklogger/com.apple.siri.unordered
cache-like,56.0 KiB,56,/Users/yaniv/Library/HTTPStorages/com.adobe.crashreporter
cache-like,56.0 KiB,56,/Users/yaniv/Library/HTTPStorages/com.operasoftware.Installer.Opera
cache-like,56.0 KiB,56,/Users/yaniv/Library/HTTPStorages/com.adobe.LogTransport.LogTransport
cache-like,56.0 KiB,56,/Users/yaniv/Library/Logs/Adobe/AdobeCRCommon
