app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
Code,com.microsoft.VSCode,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code/CachedConfigurations,
Code,com.microsoft.VSCode,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code/Shared Dictionary/cache,
LM Studio,ai.elementlabs.lmstudio,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/LM Studio/Shared Dictionary/cache,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/CachedConfigurations,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/Shared Dictionary/cache,
Rancher Desktop,io.rancherdesktop.app,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Rancher Desktop/Shared Dictionary/cache,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/Shared Dictionary/cache,
Codex,com.openai.codex,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Codex/Shared Dictionary/cache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Crashpad,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater/147.0.3893.0/Crashpad,
Slack,com.tinyspeck.slackmacgap,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Slack/Shared Dictionary/cache,
Slack,com.tinyspeck.slackmacgap,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Slack/Service Worker/ScriptCache,
Sonos,com.sonos.macController2,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Sonos,
Dia,company.thebrowser.dia,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/extensions_crx_cache,
Dia,company.thebrowser.dia,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Dia,
