kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,4.0 KiB,4,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/io.sentry/870deff1b008b4e3fa96d83955a0a195dff3e1d1,/Users/yaniv/Library/Caches/io.sentry,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/io.sentry/09e99d63755f0cddb4ad71f6b64d8365fd442912,/Users/yaniv/Library/Caches/io.sentry,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/iCloudUserNotification,,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.spotify.client/WebKit,/Users/yaniv/Library/Caches/com.spotify.client,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.spotify.client/extensions_crx_cache,/Users/yaniv/Library/Caches/com.spotify.client,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/GIPPseudonymousID,,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/WebKit,1,/Users/yaniv/Library/WebKit/com.cisco.anyconnect.acwebhelper,,true
cache-like,4.0 KiB,4,/Users/yaniv/Library/WebKit,2,/Users/yaniv/Library/WebKit/com.cisco.anyconnect.acwebhelper/WebsiteData,/Users/yaniv/Library/WebKit/com.cisco.anyconnect.acwebhelper,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Logs,2,/Users/yaniv/Library/Logs/Homebrew/azd,/Users/yaniv/Library/Logs/Homebrew,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Logs,2,/Users/yaniv/Library/Logs/Homebrew/gdk-pixbuf,/Users/yaniv/Library/Logs/Homebrew,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Logs,1,/Users/yaniv/Library/Logs/DeviceLink,,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Logs,1,/Users/yaniv/Library/Logs/com.apple.AMPLibraryAgent,,true
cache-like,4.0 KiB,4,/Users/yaniv/Library/Logs,2,/Users/yaniv/Library/Logs/com.apple.AMPLibraryAgent/iTunes Migration,/Users/yaniv/Library/Logs/com.apple.AMPLibraryAgent,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Saved Application State,1,/Users/yaniv/Library/Saved Application State/com.oracle.java.8u321.java.savedState,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/obs-studio/plugin_manager,/Users/yaniv/Library/Application Support/obs-studio,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/PSResourceGet,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/google-heartbeat-storage,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/DiskImages,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/com.google.GeminiMacOS.launcher,,true
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.google.GeminiMacOS.launcher/Crashpad,/Users/yaniv/Library/Application Support/com.google.GeminiMacOS.launcher,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.apple.ap.promotedcontentd/APPL,/Users/yaniv/Library/Application Support/com.apple.ap.promotedcontentd,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.openai.chat/ChatGPTHelper,/Users/yaniv/Library/Application Support/com.openai.chat,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.openai.atlas/Crashpad,/Users/yaniv/Library/Application Support/com.openai.atlas,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.openai.atlas/user-manager,/Users/yaniv/Library/Application Support/com.openai.atlas,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/LM Studio/Crashpad,/Users/yaniv/Library/Application Support/LM Studio,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Cursor/Crashpad,/Users/yaniv/Library/Application Support/Cursor,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/zoom.us/CefPlugin,/Users/yaniv/Library/Application Support/zoom.us,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Google/RLZ,/Users/yaniv/Library/Application Support/Google,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft/ApplicationInsights,/Users/yaniv/Library/Application Support/Microsoft,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft/DeveloperTools,/Users/yaniv/Library/Application Support/Microsoft,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Claude/Crashpad,/Users/yaniv/Library/Application Support/Claude,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/StorageExplorer/extensions,/Users/yaniv/Library/Application Support/StorageExplorer,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/segment/iPpQNH6wvMEPKjSpizGePwfn91Kk8ds9,/Users/yaniv/Library/Application Support/segment,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/segment/oai,/Users/yaniv/Library/Application Support/segment,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Oracle,,true
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Oracle/Java,/Users/yaniv/Library/Application Support/Oracle,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Codex/Crashpad,/Users/yaniv/Library/Application Support/Codex,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/iMovie,,true
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/iMovie/Team Data,/Users/yaniv/Library/Application Support/iMovie,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/JetBrains/consentOptions,/Users/yaniv/Library/Application Support/JetBrains,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/SonosV2/anacapa,/Users/yaniv/Library/Application Support/SonosV2,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Adobe/ARMMigration,/Users/yaniv/Library/Application Support/Adobe,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/com.mitchellh.ghostty,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/org.videolan.vlc,,false
cache-like,4.0 KiB,4,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/extensions_crx_cache,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,false
